Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
TakeByteString/ExMemory 26/ExMemory 1024,6.571981592274451e-6,6.555784738013096e-6,6.613370817313178e-6,8.653705394356785e-8,2.85812987708065e-8,1.5144893574275342e-7
TakeByteString/ExMemory 26/ExMemory 2048,6.717583064991473e-6,6.627972188392715e-6,6.874588204815896e-6,3.783492332906566e-7,2.0436629083561088e-7,5.555792267591028e-7
TakeByteString/ExMemory 26/ExMemory 4096,6.606861096859708e-6,6.5723841291128005e-6,6.683440783247488e-6,1.7347200577244566e-7,1.2068486564645243e-7,2.5456087969421336e-7
TakeByteString/ExMemory 26/ExMemory 8192,6.876592702160685e-6,6.727403591948848e-6,7.057392500366285e-6,4.948458837867611e-7,3.7622879226859863e-7,6.978741602834314e-7
TakeByteString/ExMemory 26/ExMemory 16384,6.660588480042896e-6,6.5934331487465755e-6,6.81039520877686e-6,3.1198882627891996e-7,1.4831622699172226e-7,4.941801610773834e-7
TakeByteString/ExMemory 26/ExMemory 32768,6.786742547774788e-6,6.663936453386428e-6,7.014652946727686e-6,5.604873252174115e-7,3.0144952718102107e-7,9.83155395889307e-7
TakeByteString/ExMemory 26/ExMemory 65536,6.6063136328179705e-6,6.570184215118331e-6,6.696732240429458e-6,1.9009246385394626e-7,8.360790261909666e-8,3.632889350818203e-7
TakeByteString/ExMemory 26/ExMemory 131072,6.872785605246386e-6,6.764046179385286e-6,7.112065924097403e-6,5.151712119066891e-7,3.693205188151655e-7,8.357109052558153e-7
TakeByteString/ExMemory 51/ExMemory 1,6.930718693857857e-6,6.825030507506651e-6,7.152080994658324e-6,5.221043112646954e-7,4.1048845901554564e-7,6.431813486341632e-7
TakeByteString/ExMemory 51/ExMemory 1,7.078547398708133e-6,6.894669803964238e-6,7.452662614415811e-6,7.761055182753754e-7,5.3191424404181e-7,1.322240029246926e-6
TakeByteString/ExMemory 51/ExMemory 1,6.746289292765676e-6,6.659628827021875e-6,6.8956678218164965e-6,3.853966881884491e-7,2.894067882284392e-7,5.371108059239609e-7
TakeByteString/ExMemory 51/ExMemory 2,6.8778079555552875e-6,6.727828175420332e-6,7.349054625420483e-6,8.790849088932198e-7,3.3482291577750633e-7,1.7408587499659148e-6
